"id","sex","model","genotype","cohort","age"
847,"female","lmna","KI","A",139
925,"female","lmna","KI","A",141
689,"female","lmna","KI","A",145
950,"male","lmna","KI","A",145
954,"male","lmna","WT","A",145
796,"female","lmna","WT","A",150
833,"female","lmna","WT","A",148
834,"female","lmna","KI","A",148
960,"male","lmna","KI","A",145
799,"male","lmna","WT","A",151
800,"male","lmna","WT","A",151
567,"female","lmna","KI","B",143
569,"female","lmna","WT","B",143
717,"male","lmna","WT","B",151
718,"male","lmna","KI","B",151
730,"male","lmna","KI","B",151
735,"male","lmna","WT","B",151
498,"female","lmna","WT","B",140
501,"male","lmna","KI","B",138
570,"female","lmna","WT","B",144
300,"male","zmpste24","KO","C",196
315,"male","zmpste24","KO","C",197
329,"male","zmpste24","KO","C",196
332,"male","zmpste24","KO","C",196
410,"male","zmpste24","WT","C",196
340,"male","zmpste24","WT","C",200
352,"male","zmpste24","WT","C",200
357,"male","zmpste24","KO","C",200
390,"male","zmpste24","WT","C",199
297,"female","zmpste24","KO","C",200
313,"female","zmpste24","KO","C",200
395,"female","zmpste24","WT","C",200
274,"female","zmpste24","WT","D",201
275,"female","zmpste24","WT","D",201
278,"female","zmpste24","KO","D",201
356,"male","zmpste24","WT","D",202
362,"female","zmpste24","KO","D",202
404,"female","zmpste24","WT","D",202
421,"female","zmpste24","WT","D",202
425,"female","zmpste24","KO","D",202
